state_01,state_02,year,src_10_400,src_35_300
"HI","MN",1960,0,0
"HI","MO",1960,0,0
"HI","MS",1960,0,0
"HI","MT",1960,0,0
"HI","NC",1960,0,0
"HI","ND",1960,0,0
"HI","NE",1960,0,0
"HI","NH",1960,0,0
"HI","NJ",1960,0,0
"HI","NM",1960,0,0
"HI","NV",1960,0,0
"HI","NY",1960,0,0
"HI","OH",1960,0,0
"HI","OK",1960,0,0
"HI","OR",1960,0,0
"HI","PA",1960,0,0
"HI","RI",1960,0,0
"HI","SC",1960,0,0
"HI","SD",1960,0,0
"HI","TN",1960,0,0
"HI","TX",1960,0,0
"HI","UT",1960,0,0
"HI","VA",1960,0,0
"HI","VT",1960,0,0
"HI","WA",1960,0,0
"HI","WI",1960,0,0
"HI","WV",1960,0,0
"HI","WY",1960,0,0
"IA","AK",1960,0,0
"IA","AL",1960,0,1
"IA","AR",1960,0,0
"IA","AZ",1960,0,0
"IA","CA",1960,1,0
"IA","CO",1960,0,0
"IA","CT",1960,0,0
"IA","DE",1960,0,0
"IA","FL",1960,0,0
"IA","GA",1960,0,0
"IA","HI",1960,0,0
"IA","IA",1960,,
"IA","ID",1960,0,0
"IA","IL",1960,0,0
"IA","IN",1960,0,0
"IA","KS",1960,0,0
"IA","KY",1960,0,0
"IA","LA",1960,1,0
"IA","MA",1960,0,0
"IA","MD",1960,1,0
"IA","ME",1960,0,0
"IA","MI",1960,0,1
"IA","MN",1960,0,1
"IA","MO",1960,0,0
"IA","MS",1960,0,0
"IA","MT",1960,0,0
"IA","NC",1960,0,0
"IA","ND",1960,0,0
"IA","NE",1960,0,0
"IA","NH",1960,0,0
"IA","NJ",1960,0,0
"IA","NM",1960,0,1
"IA","NV",1960,0,0
"IA","NY",1960,0,0
"IA","OH",1960,0,0
"IA","OK",1960,0,0
"IA","OR",1960,0,0
"IA","PA",1960,0,0
"IA","RI",1960,0,0
"IA","SC",1960,1,0
"IA","SD",1960,0,1
"IA","TN",1960,1,0
"IA","TX",1960,0,0
"IA","UT",1960,0,0
"IA","VA",1960,0,0
"IA","VT",1960,0,1
"IA","WA",1960,0,0
"IA","WI",1960,0,0
"IA","WV",1960,0,0
"IA","WY",1960,0,0
"ID","AK",1960,0,0
"ID","AL",1960,0,0
"ID","AR",1960,0,0
"ID","AZ",1960,1,1
"ID","CA",1960,0,0
"ID","CO",1960,0,0
"ID","CT",1960,0,0
"ID","DE",1960,0,0
"ID","FL",1960,0,0
"ID","GA",1960,0,1
"ID","HI",1960,0,0
"ID","IA",1960,0,0
"ID","ID",1960,,
"ID","IL",1960,1,1
"ID","IN",1960,0,0
"ID","KS",1960,0,0
"ID","KY",1960,0,1
"ID","LA",1960,0,0
"ID","MA",1960,0,0
"ID","MD",1960,0,0
"ID","ME",1960,0,1
"ID","MI",1960,1,0
"ID","MN",1960,0,0
"ID","MO",1960,0,0
"ID","MS",1960,1,0
"ID","MT",1960,0,0
"ID","NC",1960,0,0
"ID","ND",1960,0,0
"ID","NE",1960,0,0
"ID","NH",1960,0,0
"ID","NJ",1960,0,0
"ID","NM",1960,0,0
"ID","NV",1960,0,0
"ID","NY",1960,0,0
"ID","OH",1960,0,0
"ID","OK",1960,0,0
"ID","OR",1960,0,0
"ID","PA",1960,0,0
"ID","RI",1960,0,0
"ID","SC",1960,1,1
"ID","SD",1960,0,0
"ID","TN",1960,0,0
"ID","TX",1960,0,0
"ID","UT",1960,0,0
"ID","VA",1960,0,0
"ID","VT",1960,0,0
"ID","WA",1960,0,0
"ID","WI",1960,0,0
"ID","WV",1960,0,0
"ID","WY",1960,0,0
"IL","AK",1960,0,0
"IL","AL",1960,0,0
"IL","AR",1960,0,0
"IL","AZ",1960,0,0
"IL","CA",1960,0,0
"IL","CO",1960,0,0
"IL","CT",1960,0,0
"IL","DE",1960,0,0
"IL","FL",1960,0,0
"IL","GA",1960,0,0
"IL","HI",1960,0,0
"IL","IA",1960,0,0
"IL","ID",1960,0,0
"IL","IL",1960,,
"IL","IN",1960,0,0
"IL","KS",1960,0,0
"IL","KY",1960,0,0
"IL","LA",1960,0,0
"IL","MA",1960,1,1
"IL","MD",1960,0,0
"IL","ME",1960,0,0
"IL","MI",1960,1,0
"IL","MN",1960,1,1
"IL","MO",1960,0,0
"IL","MS",1960,0,0
"IL","MT",1960,0,0
"IL","NC",1960,1,0
"IL","ND",1960,0,0
"IL","NE",1960,0,0
"IL","NH",1960,0,0
"IL","NJ",1960,0,0
"IL","NM",1960,0,0
"IL","NV",1960,0,0
"IL","NY",1960,0,1
"IL","OH",1960,1,1
"IL","OK",1960,0,0
"IL","OR",1960,0,0
"IL","PA",1960,0,0
"IL","RI",1960,0,0
"IL","SC",1960,0,1
"IL","SD",1960,0,0
"IL","TN",1960,0,0
"IL","TX",1960,0,0
"IL","UT",1960,0,0
"IL","VA",1960,0,0
"IL","VT",1960,0,1
"IL","WA",1960,1,1
"IL","WI",1960,0,0
"IL","WV",1960,0,0
"IL","WY",1960,0,0
"IN","AK",1960,0,0
"IN","AL",1960,0,0
"IN","AR",1960,0,0
"IN","AZ",1960,0,0
"IN","CA",1960,0,1
"IN","CO",1960,0,0
"IN","CT",1960,0,0
"IN","DE",1960,0,0
"IN","FL",1960,0,0
"IN","GA",1960,0,1
"IN","HI",1960,0,0
"IN","IA",1960,0,0
"IN","ID",1960,0,0
"IN","IL",1960,1,1
"IN","IN",1960,,
"IN","KS",1960,0,0
"IN","KY",1960,0,1
"IN","LA",1960,1,0
"IN","MA",1960,0,0
"IN","MD",1960,0,0
"IN","ME",1960,0,0
"IN","MI",1960,0,0
"IN","MN",1960,0,0
"IN","MO",1960,0,0
"IN","MS",1960,0,1
"IN","MT",1960,0,0
"IN","NC",1960,0,0
"IN","ND",1960,0,0
"IN","NE",1960,0,0
"IN","NH",1960,0,0
"IN","NJ",1960,0,0
"IN","NM",1960,0,0
"IN","NV",1960,0,0
"IN","NY",1960,1,0
"IN","OH",1960,0,0
"IN","OK",1960,0,0
"IN","OR",1960,0,0
"IN","PA",1960,0,0
"IN","RI",1960,0,0
"IN","SC",1960,0,0
"IN","SD",1960,0,0
"IN","TN",1960,0,0
"IN","TX",1960,0,0
"IN","UT",1960,0,1
"IN","VA",1960,1,0
"IN","VT",1960,0,0
"IN","WA",1960,0,0
"IN","WI",1960,0,0
"IN","WV",1960,0,1
"IN","WY",1960,0,0
"KS","AK",1960,0,0
"KS","AL",1960,0,0
"KS","AR",1960,0,0
"KS","AZ",1960,0,0
"KS","CA",1960,0,0
"KS","CO",1960,0,0
"KS","CT",1960,0,0
"KS","DE",1960,0,0
"KS","FL",1960,0,0
"KS","GA",1960,0,1
"KS","HI",1960,0,0
"KS","IA",1960,0,0
"KS","ID",1960,1,0
"KS","IL",1960,0,0
"KS","IN",1960,0,0
"KS","KS",1960,,
"KS","KY",1960,0,0
"KS","LA",1960,0,1
"KS","MA",1960,0,0
"KS","MD",1960,1,0
"KS","ME",1960,0,0
"KS","MI",1960,0,0
"KS","MN",1960,0,0
"KS","MO",1960,0,1
"KS","MS",1960,1,0
"KS","MT",1960,0,0
"KS","NC",1960,0,0
"KS","ND",1960,0,0
"KS","NE",1960,0,0
"KS","NH",1960,0,0
"KS","NJ",1960,0,0
"KS","NM",1960,0,1
"KS","NV",1960,0,0
"KS","NY",1960,0,1
"KS","OH",1960,0,0
"KS","OK",1960,0,0
"KS","OR",1960,0,0
"KS","PA",1960,0,0
"KS","RI",1960,1,0
"KS","SC",1960,0,0
"KS","SD",1960,0,0
"KS","TN",1960,0,0
"KS","TX",1960,0,0
"KS","UT",1960,1,0
"KS","VA",1960,0,0
"KS","VT",1960,0,0
"KS","WA",1960,0,0
"KS","WI",1960,0,1
"KS","WV",1960,0,0
"KS","WY",1960,0,0
"KY","AK",1960,0,0
"KY","AL",1960,0,1
"KY","AR",1960,0,0
"KY","AZ",1960,0,0
"KY","CA",1960,0,0
"KY","CO",1960,0,0
"KY","CT",1960,0,0
"KY","DE",1960,0,0
"KY","FL",1960,1,0
"KY","GA",1960,0,0
"KY","HI",1960,0,0
"KY","IA",1960,1,1
"KY","ID",1960,1,0
"KY","IL",1960,0,0
"KY","IN",1960,0,0
"KY","KS",1960,0,1
"KY","KY",1960,,
"KY","LA",1960,1,0
"KY","MA",1960,0,0
"KY","MD",1960,0,1
"KY","ME",1960,0,0
"KY","MI",1960,0,1
"KY","MN",1960,0,0
"KY","MO",1960,0,0
"KY","MS",1960,0,0
"KY","MT",1960,0,0
"KY","NC",1960,0,0
"KY","ND",1960,0,0
"KY","NE",1960,0,0
"KY","NH",1960,0,0
"KY","NJ",1960,0,0
"KY","NM",1960,0,1
"KY","NV",1960,0,0
"KY","NY",1960,0,0
"KY","OH",1960,0,0
"KY","OK",1960,0,0
"KY","OR",1960,1,0
"KY","PA",1960,0,0
"KY","RI",1960,1,1
"KY","SC",1960,0,0
"KY","SD",1960,0,0
"KY","TN",1960,0,0
"KY","TX",1960,0,0
"KY","UT",1960,0,0
"KY","VA",1960,0,0
"KY","VT",1960,1,1
"KY","WA",1960,0,0
"KY","WI",1960,0,0
"KY","WV",1960,0,0
"KY","WY",1960,0,0
"LA","AK",1960,0,0
"LA","AL",1960,0,0
"LA","AR",1960,0,0
"LA","AZ",1960,0,0
"LA","CA",1960,0,0
"LA","CO",1960,0,1
"LA","CT",1960,0,0
"LA","DE",1960,0,0
"LA","FL",1960,0,0
"LA","GA",1960,1,0
"LA","HI",1960,0,0
"LA","IA",1960,0,1
"LA","ID",1960,0,0
"LA","IL",1960,0,0
"LA","IN",1960,0,0
"LA","KS",1960,0,0
"LA","KY",1960,0,0
"LA","LA",1960,,
"LA","MA",1960,0,0
"LA","MD",1960,0,0
"LA","ME",1960,0,0
"LA","MI",1960,1,0
"LA","MN",1960,0,0
"LA","MO",1960,0,0
"LA","MS",1960,0,0
"LA","MT",1960,0,0
"LA","NC",1960,0,1
"LA","ND",1960,0,1
"LA","NE",1960,0,0
"LA","NH",1960,1,0
"LA","NJ",1960,0,0
"LA","NM",1960,1,0
"LA","NV",1960,0,0
"LA","NY",1960,0,0
"LA","OH",1960,0,0
"LA","OK",1960,0,0
"LA","OR",1960,0,0
"LA","PA",1960,0,0
"LA","RI",1960,1,1
"LA","SC",1960,0,0
"LA","SD",1960,0,0
"LA","TN",1960,0,0
"LA","TX",1960,0,0
"LA","UT",1960,0,1
"LA","VA",1960,0,0
"LA","VT",1960,0,0
"LA","WA",1960,0,0
"LA","WI",1960,0,0
"LA","WV",1960,0,0
"LA","WY",1960,0,0
"MA","AK",1960,0,0
"MA","AL",1960,0,0
"MA","AR",1960,0,0
"MA","AZ",1960,0,0
"MA","CA",1960,0,0
"MA","CO",1960,0,0
"MA","CT",1960,1,1
"MA","DE",1960,0,0
"MA","FL",1960,0,0
"MA","GA",1960,0,0
"MA","HI",1960,0,0
"MA","IA",1960,1,0
"MA","ID",1960,0,0
"MA","IL",1960,0,1
"MA","IN",1960,0,0
"MA","KS",1960,0,0
"MA","KY",1960,0,1
"MA","LA",1960,0,1
"MA","MA",1960,,
