AR,1980,4,109.27
AR,1981,1,110.07
AR,1981,2,106.71
AR,1981,3,109.31
AR,1981,4,102.57
AR,1982,1,103.32
AR,1982,2,106.21
AR,1982,3,110.9
AR,1982,4,108.69
AR,1983,1,113.36
AR,1983,2,116.69
AR,1983,3,118.82
AR,1983,4,118.48
AR,1984,1,120.73
AR,1984,2,118.84
AR,1984,3,119.66
AR,1984,4,121.24
AR,1985,1,121.3
AR,1985,2,119.83
AR,1985,3,124.24
AR,1985,4,124.56
AR,1986,1,125.85
AR,1986,2,128.84
AR,1986,3,126.77
AR,1986,4,128.28
AR,1987,1,129.38
AR,1987,2,130.99
AR,1987,3,127.89
AR,1987,4,124.26
AR,1988,1,126.69
AR,1988,2,127.52
AR,1988,3,127.14
AR,1988,4,126.46
AR,1989,1,127.41
AR,1989,2,127.04
AR,1989,3,128.29
AR,1989,4,127.35
AR,1990,1,128.15
AR,1990,2,128.14
AR,1990,3,128.96
AR,1990,4,128.46
AR,1991,1,129.72
AR,1991,2,130.45
AR,1991,3,131.67
AR,1991,4,133.79
AR,1992,1,134.9
AR,1992,2,134.26
AR,1992,3,136.63
AR,1992,4,137.31
AR,1993,1,138.56
AR,1993,2,140.78
AR,1993,3,143.31
AR,1993,4,145.05
AR,1994,1,147.88
AR,1994,2,149.12
AR,1994,3,150.94
AR,1994,4,152
AR,1995,1,152.8
AR,1995,2,156.96
AR,1995,3,158.97
AR,1995,4,159.71
AR,1996,1,162.05
AR,1996,2,162.32
AR,1996,3,162.11
AR,1996,4,163.84
AR,1997,1,165.33
AR,1997,2,166.89
AR,1997,3,167.79
AR,1997,4,170.02
AR,1998,1,171.83
AR,1998,2,171.77
AR,1998,3,174.59
AR,1998,4,176.54
AR,1999,1,177.3
AR,1999,2,177.52
AR,1999,3,178.23
AR,1999,4,178.85
AR,2000,1,179.76
AR,2000,2,181.48
AR,2000,3,182.57
AR,2000,4,185.01
AR,2001,1,189.61
AR,2001,2,190.71
AR,2001,3,192.74
AR,2001,4,194.67
AR,2002,1,195.4
AR,2002,2,196.25
AR,2002,3,199.47
AR,2002,4,201.92
AR,2003,1,203.44
AR,2003,2,204.76
AR,2003,3,207.26
AR,2003,4,210.31
AR,2004,1,212.95
AR,2004,2,216.5
AR,2004,3,220.15
AR,2004,4,223.99
AR,2005,1,227.19
AR,2005,2,232.36
AR,2005,3,237.54
AR,2005,4,240.72
AR,2006,1,244.38
AR,2006,2,247.67
AR,2006,3,250.35
AR,2006,4,252.51
AR,2007,1,254.85
AR,2007,2,256.33
AR,2007,3,256
AR,2007,4,257.23
AR,2008,1,256.97
AR,2008,2,256.18
AR,2008,3,253.19
AR,2008,4,254.5
AR,2009,1,256.68
AR,2009,2,253.48
AR,2009,3,249.38
AR,2009,4,248.28
AR,2010,1,244.97
AR,2010,2,245.73
AR,2010,3,246.61
AR,2010,4,245.46
AR,2011,1,241.46
AR,2011,2,240
AR,2011,3,241.99
AR,2011,4,243.23
AR,2012,1,242.72
AR,2012,2,240.23
AR,2012,3,243.55
AR,2012,4,245.11
AR,2013,1,245.91
AR,2013,2,246.25
AR,2013,3,246.93
AR,2013,4,246.52
AR,2014,1,247.85
AR,2014,2,247.93
AR,2014,3,249.9
AR,2014,4,252.87
AR,2015,1,252.95
AR,2015,2,253.59
AR,2015,3,257.56
AR,2015,4,259.47
AR,2016,1,257.91
AR,2016,2,261.76
AR,2016,3,264.61
AR,2016,4,266.11
AR,2017,1,268.76
AR,2017,2,270.34
AR,2017,3,273.59
AR,2017,4,275.69
AR,2018,1,278.67
AR,2018,2,280.8
AR,2018,3,283.19
AR,2018,4,285.54
AR,2019,1,287.72
AR,2019,2,291.13
AR,2019,3,294.52
AR,2019,4,297.42
AR,2020,1,298.84
AR,2020,2,301.62
AR,2020,3,306.34
AR,2020,4,313.35
AR,2021,1,318.76
AR,2021,2,334.26
AR,2021,3,352.4
AZ,1975,1,60.09
AZ,1975,2,60.1
AZ,1975,3,59.52
AZ,1975,4,56.67
AZ,1976,1,58.96
AZ,1976,2,62.66
AZ,1976,3,60.84
AZ,1976,4,61.22
AZ,1977,1,63.63
AZ,1977,2,64.03
AZ,1977,3,66.16
AZ,1977,4,70
AZ,1978,1,71.29
AZ,1978,2,74.07
AZ,1978,3,79.03
AZ,1978,4,83.09
AZ,1979,1,87.51
AZ,1979,2,92.65
AZ,1979,3,95.54
AZ,1979,4,99.11
AZ,1980,1,100
AZ,1980,2,98.68
AZ,1980,3,107.25
AZ,1980,4,107.87
AZ,1981,1,108.68
AZ,1981,2,112.17
AZ,1981,3,116.92
AZ,1981,4,110.28
AZ,1982,1,105.43
AZ,1982,2,109.39
AZ,1982,3,101.83
AZ,1982,4,108.94
AZ,1983,1,119.1
AZ,1983,2,119.33
AZ,1983,3,115.58
AZ,1983,4,113.26
AZ,1984,1,117.76
AZ,1984,2,121.91
AZ,1984,3,123.05
AZ,1984,4,122.61
AZ,1985,1,125.25
AZ,1985,2,125.73
AZ,1985,3,127.38
AZ,1985,4,129.03
AZ,1986,1,131.59
AZ,1986,2,135.56
AZ,1986,3,135.5
AZ,1986,4,133.17
AZ,1987,1,137.92
AZ,1987,2,136.84
AZ,1987,3,135.87
AZ,1987,4,133.56
AZ,1988,1,135.01
AZ,1988,2,136.22
AZ,1988,3,134.24
AZ,1988,4,134.52
AZ,1989,1,133.36
AZ,1989,2,132.79
AZ,1989,3,134.89
AZ,1989,4,134.12
AZ,1990,1,133.94
AZ,1990,2,133.07
AZ,1990,3,134.24
AZ,1990,4,132.91
AZ,1991,1,134.93
AZ,1991,2,135.95
AZ,1991,3,135.39
AZ,1991,4,139.33
AZ,1992,1,140.01
AZ,1992,2,139.71
AZ,1992,3,140.66
AZ,1992,4,141.51
AZ,1993,1,141.64
AZ,1993,2,143.34
AZ,1993,3,144.5
AZ,1993,4,146.41
AZ,1994,1,148.43
AZ,1994,2,150.52
AZ,1994,3,152.5
AZ,1994,4,154.16
AZ,1995,1,156.11
AZ,1995,2,158.97
AZ,1995,3,162.02
AZ,1995,4,164.08
AZ,1996,1,166.66
AZ,1996,2,167.01
AZ,1996,3,168.57
AZ,1996,4,169.97
AZ,1997,1,171.85
AZ,1997,2,172.73
AZ,1997,3,175.73
AZ,1997,4,178.43
AZ,1998,1,180.93
AZ,1998,2,182.45
AZ,1998,3,184.92
AZ,1998,4,187.09
AZ,1999,1,188.95
AZ,1999,2,191.38
AZ,1999,3,194
AZ,1999,4,195.86
AZ,2000,1,200.31
AZ,2000,2,202.53
AZ,2000,3,205.25
AZ,2000,4,208.36
AZ,2001,1,213.01
AZ,2001,2,216.29
AZ,2001,3,219.41
AZ,2001,4,221.55
AZ,2002,1,224.56
AZ,2002,2,227.54
AZ,2002,3,231.42
AZ,2002,4,234.08
AZ,2003,1,236.87
AZ,2003,2,239.34
AZ,2003,3,243.04
AZ,2003,4,251.24
AZ,2004,1,255.63
AZ,2004,2,264.7
AZ,2004,3,280.26
AZ,2004,4,291.73
AZ,2005,1,309.4
AZ,2005,2,341.26
AZ,2005,3,370.27
AZ,2005,4,396.03
AZ,2006,1,410.77
AZ,2006,2,419.5
AZ,2006,3,423.14
AZ,2006,4,426.79
AZ,2007,1,425
AZ,2007,2,421.26
AZ,2007,3,412.01
AZ,2007,4,404.99
AZ,2008,1,391.66
AZ,2008,2,369.01
AZ,2008,3,342.08
AZ,2008,4,329.98
AZ,2009,1,328.94
AZ,2009,2,305.38
AZ,2009,3,289.66
AZ,2009,4,281.03
AZ,2010,1,273.12
AZ,2010,2,263.62
AZ,2010,3,263.16
AZ,2010,4,256.61
AZ,2011,1,242.23
AZ,2011,2,230.34
AZ,2011,3,232.27
AZ,2011,4,237.58
AZ,2012,1,236.41
AZ,2012,2,239.26
AZ,2012,3,249.01
AZ,2012,4,256.58
AZ,2013,1,262.91
AZ,2013,2,274.76
AZ,2013,3,283.01
AZ,2013,4,290.96
AZ,2014,1,296.48
