state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PA,495813.9,508483.9,523565.3,537224,544790.8,550247,562435.7,578033.8,588054.9,592030.3,612017.6,623821.3,605496.7,622466.7,631371.8,641317.3,651318.9,666494.4,681234.6,689844.4,693675.6,711822.2,728018
RI,40158.5,41788.5,43175.7,45246.1,45917.5,47611.1,49374.3,51583.2,52316.3,53518.2,52087.4,50447.1,50213.6,51467.5,51269.1,51642,52084.6,52134.2,53096.5,53090.7,52989.3,53624.9,55047.6
SC,134908,140139.3,146525.5,150501.3,151105.2,154698,160138.4,162237.9,166573.9,170339,175090.1,174584.2,166849.7,170166.5,174127.9,175374.8,178940.4,183561.9,189899.8,195459.6,201872.6,207202.6,213451.2
SD,24976.1,26452.1,27500.8,29406.8,29746.2,32958.4,33657.3,35071.4,35907.3,36459,38057.4,39643.2,39731.9,40129.8,42793.5,43444.6,43602.2,44153,45442.6,45685.5,45618.9,46490.5,46810.4
TN,210843.8,223768.9,230417.5,233152.7,232723.2,240522.4,247823.7,259337.3,264652.2,271464.6,268755.6,272011.3,263015.5,266727.2,274803.6,283721.8,286801.4,291687.6,301587.2,308031.6,313837.2,323674.9,330802
TX,872763.1,928374.4,965676.6,998296.5,1021889,1041811,1048298.6,1102696.3,1132796.1,1210286.8,1274302.5,1275773.6,1271435.8,1301726.7,1343790.9,1411378.7,1472103.5,1523057.2,1596361.9,1600260.2,1646264.3,1712764,1788527.3
UT,80682.5,85719.7,89269.9,92507.5,93886.6,95693.3,97648.8,102724.6,109145.6,118720.6,124497.7,123483.3,120791.6,123330.1,127060,128721,131901.8,136081.5,141703.3,147414,153129.1,158799.7,164808.3
VT,20026.1,20697,21843.4,23022.5,23713.5,24455.4,25301.3,26564.3,26909.4,27132.4,26801.5,27437.2,26996.6,28111,28733.3,28887.4,28498.6,28521.8,28906.5,29362.9,29406.6,29750.3,30484.7
VA,301623.2,317196.5,332145.9,346160.5,358518.5,362261.5,376113.7,393446.1,415086.9,423737.5,427001,425803.5,425583.3,437267.8,441608.8,444950,446559.7,445869.2,454952.9,456676.4,464792.9,477005.7,485998.4
WA,271601.3,289102,310331.7,312230.4,305054.8,310338.1,316224.1,322003.4,343362,356691.2,378205.1,382380.5,372728.4,381253.4,387832.4,400863.3,411140.6,425762.5,444318.5,459754.3,483773.4,511672.4,531224.1
WV,59236.5,60164.8,62170.2,62051.5,62016.8,62805.3,62839.1,63721.4,65548.9,66435.4,66522.1,67888.3,67564.9,68443.6,69658,69399,70158.7,69874.1,69761.1,68901.2,69903.9,71481.4,72161.5
WI,209256.6,217254,226298,233084.8,236113,240995.6,247867,256002.6,262160.8,266471.3,267936.1,264632.1,257142.6,264841.1,270372.5,274343.9,276189.5,282078.9,287164.3,290750.2,294657.1,301622.7,305874.4
WY,25239.5,25840.7,26822.4,27708.2,29240.7,29875.5,30612.3,31529.7,33120.8,37526.7,40334.9,42632.5,41385.4,39801.4,39395.5,38431.7,38503.9,38717.6,39723,38052.9,37997.1,38040,39306.6
